Location,Year,Month,Monthly_MSL,Linear_Trend,High_Conf.,Low_Conf.
Portland ME,1945,12,0.012,-0.074,-0.069,-0.079
Portland ME,1946,1,-0.061,-0.074,-0.069,-0.079
Portland ME,1946,2,-0.05,-0.074,-0.069,-0.079
Portland ME,1946,3,-0.053,-0.074,-0.068,-0.079
Portland ME,1946,4,-0.017,-0.073,-0.068,-0.079
Portland ME,1946,5,-0.063,-0.073,-0.068,-0.079
Portland ME,1946,6,-0.055,-0.073,-0.068,-0.078
Portland ME,1946,7,-0.071,-0.073,-0.068,-0.078
Portland ME,1946,8,-0.026,-0.073,-0.068,-0.078
Portland ME,1946,9,-0.048,-0.073,-0.068,-0.078
Portland ME,1946,10,-0.037,-0.073,-0.067,-0.078
Portland ME,1946,11,-0.017,-0.072,-0.067,-0.078
Portland ME,1946,12,-0.046,-0.072,-0.067,-0.077
Portland ME,1947,1,-0.055,-0.072,-0.067,-0.077
Portland ME,1947,2,0.06,-0.072,-0.067,-0.077
Portland ME,1947,3,0.068,-0.072,-0.067,-0.077
Portland ME,1947,4,-0.063,-0.072,-0.066,-0.077
Portland ME,1947,5,-0.029,-0.071,-0.066,-0.077
Portland ME,1947,6,-0.003,-0.071,-0.066,-0.076
Portland ME,1947,7,-0.037,-0.071,-0.066,-0.076
Portland ME,1947,8,-0.057,-0.071,-0.066,-0.076
Portland ME,1947,9,-0.06,-0.071,-0.066,-0.076
Portland ME,1947,10,-0.088,-0.071,-0.066,-0.076
Portland ME,1947,11,0.047,-0.07,-0.065,-0.076
Portland ME,1947,12,-0.071,-0.07,-0.065,-0.075
Portland ME,1948,1,-0.052,-0.07,-0.065,-0.075
Portland ME,1948,2,-0.062,-0.07,-0.065,-0.075
Portland ME,1948,3,-0.038,-0.07,-0.065,-0.075
Portland ME,1948,4,-0.084,-0.07,-0.065,-0.075
Portland ME,1948,5,-0.002,-0.07,-0.064,-0.075
Portland ME,1948,6,-0.015,-0.069,-0.064,-0.074
Portland ME,1948,7,-0.001,-0.069,-0.064,-0.074
Portland ME,1948,8,-0.042,-0.069,-0.064,-0.074
Portland ME,1948,9,-0.057,-0.069,-0.064,-0.074
Portland ME,1948,10,-0.024,-0.069,-0.064,-0.074
Portland ME,1948,11,-0.027,-0.069,-0.064,-0.074
